"id","imsi","device","timestamp","rtt","upf","cpu","ram","bw_requested","bw_received","slice1_active_ues","slice2_active_ues","active_ues","admission_flag"
667,"999991000000081",uesimtun0,2025-06-09 09:43:44.000,"16.785",upf500,"0.0","0.4","5.0","22.44",1,0,1,1
668,"999991000000081",uesimtun0,2025-06-09 09:44:57.000,"17.853",upf500,"0.0","0.4","5.0","16.13",1,1,2,1
669,"999991000000082",uesimtun1,2025-06-09 09:44:57.000,"18.354",upf250,"17.6","0.8","5.0","12.48",1,1,2,1
670,"999991000000081",uesimtun0,2025-06-09 09:46:23.000,"16.667",upf500,"0.0","0.4","5.0","10.51",2,1,3,1
671,"999991000000082",uesimtun1,2025-06-09 09:46:23.000,"18.150",upf250,"12.5","0.8","5.0","10.04",2,1,3,1
672,"999991000000083",uesimtun2,2025-06-09 09:46:23.000,"19.390",upf500,"0.0","0.4","5.0","9.19",2,1,3,1
673,"999991000000081",uesimtun0,2025-06-09 09:47:57.000,"16.809",upf500,"0.0","0.4","5.0","8.74",2,2,4,1
674,"999991000000082",uesimtun1,2025-06-09 09:47:57.000,"16.921",upf250,"18.8","0.8","5.0","6.59",2,2,4,1
675,"999991000000083",uesimtun2,2025-06-09 09:47:57.000,"17.341",upf500,"0.0","0.4","5.0","8.82",2,2,4,1
676,"999991000000084",uesimtun3,2025-06-09 09:47:57.000,"18.132",upf250,"17.6","0.8","5.0","7.9",2,2,4,1
677,"999991000000081",uesimtun0,2025-06-09 09:49:47.000,"19.321",upf500,"0.0","0.4","5.0","5.97",3,2,5,1
678,"999991000000082",uesimtun1,2025-06-09 09:49:47.000,"18.628",upf250,"25.0","0.8","5.0","7.37",3,2,5,1
679,"999991000000083",uesimtun2,2025-06-09 09:49:47.000,"17.048",upf500,"0.0","0.4","5.0","5.69",3,2,5,1
680,"999991000000084",uesimtun3,2025-06-09 09:49:47.000,"18.079",upf250,"25.0","0.8","5.0","5.63",3,2,5,1
681,"999991000000085",uesimtun4,2025-06-09 09:49:47.000,"19.043",upf500,"0.0","0.4","5.0","6.66",3,2,5,1
682,"999991000000081",uesimtun0,2025-06-09 09:51:53.000,"18.237",upf500,"0.0","0.4","5.0","5.37",3,3,6,1
