time,IMSI,bw requested,real bandwith received,slice
2025-07-12 17:09:24.478237+00:00,999991000000086,8,13.99,UPF250
2025-07-12 17:09:30.631408+00:00,999991000000083,8,22.62,UPF500
2025-07-12 17:09:47.724908+00:00,999991000000083,6,6.40,UPF500
2025-07-12 17:10:20.593966+00:00,999991000000088,8,11.87,UPF250
2025-07-12 17:10:39.483954+00:00,999991000000083,6,14.11,UPF500
2025-07-12 17:10:56.815464+00:00,999991000000090,8,2.88,UPF250
2025-07-12 17:11:05.034792+00:00,999991000000091,8,3.79,UPF500
2025-07-12 17:11:14.761890+00:00,999991000000090,5,13.41,UPF250
2025-07-12 17:11:19.182597+00:00,999991000000090,9,4.32,UPF250
2025-07-12 17:11:26.704730+00:00,999991000000091,6,10.07,UPF500
2025-07-12 17:11:53.239725+00:00,999991000000091,6,,UPF500
2025-07-12 17:11:53.331083+00:00,999991000000090,9,,UPF250
2025-07-12 17:11:53.359948+00:00,999991000000091,7,,UPF500
2025-07-12 17:14:56.516763+00:00,999991000000091,8,15.12,UPF500
2025-07-12 17:15:12.910012+00:00,999991000000085,8,11.38,UPF250
2025-07-12 17:15:16.615990+00:00,999991000000087,8,11.88,UPF500
2025-07-12 17:15:28.907512+00:00,999991000000087,7,2.35,UPF500
2025-07-12 17:15:33.650697+00:00,999991000000088,8,11.46,UPF250
2025-07-12 17:15:35.401188+00:00,999991000000090,7,11.39,UPF250
2025-07-12 17:16:03.520370+00:00,999991000000087,8,18.88,UPF500
2025-07-12 17:16:13.598691+00:00,999991000000087,5,4.87,UPF500
2025-07-12 17:16:18.833068+00:00,999991000000092,9,12.66,UPF250
2025-07-12 17:16:50.905866+00:00,999991000000097,7,,UPF500
2025-07-12 17:16:50.977012+00:00,999991000000090,6,,UPF250
2025-07-12 17:16:51.013247+00:00,999991000000090,9,,UPF250
2025-07-12 17:16:51.110920+00:00,999991000000082,8,,UPF500
2025-07-12 17:19:20.175821+00:00,999991000000087,8,23.82,UPF500
2025-07-12 17:19:41.440742+00:00,999991000000090,8,10.44,UPF250
2025-07-12 17:19:52.139315+00:00,999991000000087,9,17.79,UPF500
2025-07-12 17:20:27.732780+00:00,999991000000090,9,12.00,UPF250
2025-07-12 17:20:34.912245+00:00,999991000000087,6,24.40,UPF500
2025-07-12 17:20:35.283906+00:00,999991000000090,5,4.19,UPF250
2025-07-12 17:20:44.361907+00:00,999991000000087,5,6.40,UPF500
2025-07-12 17:21:02.220263+00:00,999991000000087,7,13.49,UPF500
2025-07-12 17:21:23.048741+00:00,999991000000090,6,11.63,UPF250
2025-07-12 17:21:39.809288+00:00,999991000000087,6,,UPF500
2025-07-12 17:21:39.892937+00:00,999991000000087,7,,UPF500
2025-07-12 17:21:39.897947+00:00,999991000000096,6,,UPF250
2025-07-12 17:21:39.970144+00:00,999991000000094,8,,UPF250
2025-07-12 17:24:11.098608+00:00,999991000000096,9,10.92,UPF250
2025-07-12 17:24:38.285062+00:00,999991000000087,6,13.00,UPF500
2025-07-12 17:24:41.090772+00:00,999991000000099,7,19.93,UPF500
2025-07-12 17:25:16.116976+00:00,999991000000090,8,12.19,UPF250
2025-07-12 17:25:16.210413+00:00,999991000000094,9,12.08,UPF250
2025-07-12 17:25:35.877327+00:00,999991000000087,9,4.36,UPF500
2025-07-12 17:25:54.165146+00:00,999991000000087,6,15.51,UPF500
2025-07-12 17:26:05.813487+00:00,999991000000096,7,3.67,UPF250
2025-07-12 17:26:25.869227+00:00,999991000000096,9,0,UPF250
2025-07-12 17:26:28.061515+00:00,999991000000089,5,0,UPF500
2025-07-12 17:26:29.930936+00:00,999991000000097,8,,UPF500
2025-07-12 17:26:29.996517+00:00,999991000000096,5,,UPF250
2025-07-12 17:26:30.071379+00:00,999991000000087,6,,UPF500
2025-07-12 17:29:12.820556+00:00,999991000000092,5,12.61,UPF250
2025-07-12 17:29:24.768181+00:00,999991000000087,5,15.75,UPF500
2025-07-12 17:29:33.809223+00:00,999991000000095,6,18.94,UPF500
2025-07-12 17:29:36.492030+00:00,999991000000088,6,13.57,UPF250
2025-07-12 17:30:02.335852+00:00,999991000000090,8,13.59,UPF250
2025-07-12 17:30:26.481777+00:00,999991000000099,7,16.69,UPF500
2025-07-12 17:30:42.891338+00:00,999991000000091,6,11.04,UPF500
2025-07-12 17:31:00.925930+00:00,999991000000093,7,17.76,UPF500
2025-07-12 17:31:09.039348+00:00,999991000000096,9,7.36,UPF250
