time,IMSI,bw requested,real bandwith received,slice
2025-07-19 15:08:47.099590+00:00,999991000000088,4,10.67,UPF250
2025-07-19 15:09:10.235910+00:00,999991000000083,3,2.63,UPF500
2025-07-19 15:09:24.210502+00:00,999991000000085,4,9.14,UPF250
2025-07-19 15:09:45.184919+00:00,999991000000083,3,2.25,UPF500
2025-07-19 15:10:24.051180+00:00,999991000000086,4,8.98,UPF250
2025-07-19 15:10:40.998877+00:00,999991000000083,4,1.25,UPF500
2025-07-19 15:10:56.052137+00:00,999991000000083,3,7.32,UPF500
2025-07-19 15:11:11.309510+00:00,999991000000092,3,7.17,UPF250
2025-07-19 15:11:53.497131+00:00,999991000000095,4,9.77,UPF500
2025-07-19 15:12:01.075799+00:00,999991000000088,4,8.72,UPF250
