time,IMSI,bw requested,real bandwith received,slice
2025-07-19 10:31:36.136022+00:00,999991000000083,3,5.04,UPF500
2025-07-19 10:32:04.700134+00:00,999991000000092,3,5.71,UPF250
2025-07-19 10:32:06.511879+00:00,999991000000083,3,6.93,UPF500
2025-07-19 10:32:55.765598+00:00,999991000000083,3,1.93,UPF500
2025-07-19 10:32:59.155494+00:00,999991000000085,3,8.22,UPF250
2025-07-19 10:33:04.153219+00:00,999991000000088,3,5.06,UPF250
2025-07-19 10:33:11.739726+00:00,999991000000086,3,6.84,UPF250
2025-07-19 10:33:40.208612+00:00,999991000000090,3,6.03,UPF250
2025-07-19 10:33:51.703649+00:00,999991000000083,3,.72,UPF500
2025-07-19 10:34:11.755940+00:00,999991000000093,3,6.12,UPF500
2025-07-19 10:34:53.953862+00:00,999991000000095,3,7.17,UPF500
2025-07-19 10:35:32.427168+00:00,999991000000096,3,8.67,UPF250
2025-07-19 10:35:40.817396+00:00,999991000000097,3,10.60,UPF500
