time,IMSI,bw requested,real bandwith received,slice
2025-07-19 10:39:51.251219+00:00,999991000000083,3,25.53,UPF500
2025-07-19 10:40:53.883659+00:00,999991000000083,3,10.28,UPF500
2025-07-19 10:41:02.295948+00:00,999991000000088,3,8.27,UPF250
2025-07-19 10:41:18.497205+00:00,999991000000090,3,7.53,UPF250
2025-07-19 10:42:12.803124+00:00,999991000000085,3,7.53,UPF250
2025-07-19 10:42:29.574365+00:00,999991000000096,3,4.45,UPF250
2025-07-19 10:42:45.024847+00:00,999991000000097,3,4.64,UPF500
2025-07-19 10:43:00.592587+00:00,999991000000089,3,5.77,UPF500
2025-07-19 10:43:19.431756+00:00,999991000000089,3,.60,UPF500
2025-07-19 10:43:33.662679+00:00,999991000000092,3,5.99,UPF250
2025-07-19 10:43:38.904345+00:00,999991000000095,3,5.88,UPF500
2025-07-19 10:44:08.599627+00:00,999991000000094,3,7.02,UPF250
2025-07-19 10:44:11.753463+00:00,999991000000082,3,8.04,UPF500
