time,IMSI,bw requested,real bandwith received,slice
2025-07-19 12:07:13.278056+00:00,999991000000085,4,13.13,UPF250
2025-07-19 12:07:44.259826+00:00,999991000000083,4,15.36,UPF500
2025-07-19 12:08:34.969603+00:00,999991000000094,4,5.48,UPF250
2025-07-19 12:08:50.703345+00:00,999991000000083,3,2.23,UPF500
2025-07-19 12:08:55.421202+00:00,999991000000083,2,2.63,UPF500
2025-07-19 12:09:45.930200+00:00,999991000000086,2,8.22,UPF250
2025-07-19 12:09:46.389808+00:00,999991000000083,4,1.58,UPF500
2025-07-19 12:09:46.744045+00:00,999991000000090,2,7.85,UPF250
2025-07-19 12:10:18.570113+00:00,999991000000083,4,1.36,UPF500
2025-07-19 12:10:42.577436+00:00,999991000000092,3,7.94,UPF250
2025-07-19 12:10:46.847819+00:00,999991000000096,4,8.18,UPF250
2025-07-19 12:11:30.628384+00:00,999991000000083,2,12.89,UPF500
