time,IMSI,bw requested,real bandwith received,slice
2025-07-19 12:17:34.464909+00:00,999991000000083,3,.08,UPF500
2025-07-19 12:18:12.145557+00:00,999991000000082,4,13.71,UPF500
2025-07-19 12:18:26.059165+00:00,999991000000087,3,11.02,UPF500
2025-07-19 12:19:38.568511+00:00,999991000000085,3,4.90,UPF250
2025-07-19 12:19:51.752920+00:00,999991000000097,4,4.19,UPF500
2025-07-19 12:19:58.845271+00:00,999991000000086,3,7.98,UPF250
2025-07-19 12:20:43.732645+00:00,999991000000088,4,6.67,UPF250
2025-07-19 12:21:11.006270+00:00,999991000000090,3,6.34,UPF250
2025-07-19 12:21:18.838315+00:00,999991000000089,3,5.87,UPF500
2025-07-19 12:21:29.709365+00:00,999991000000087,4,6.63,UPF500
2025-07-19 12:21:54.184419+00:00,999991000000095,3,9.03,UPF500
