"id","IMSI_UE1","waiting_time_UE1","time_requested_UE1","IMSI_UE2","waiting_time_UE2","time_requested_UE2","IMSI_UE3","waiting_time_UE3","time_requested_UE3","episode_done","action","reward"
10941,"999991000000087",13,52,"999991000000082",0,42,"999991000000083",0,54,false,0,-0.122
10942,"999991000000084",0,16,"999991000000088",23,40,"999991000000086",0,12,false,1,-0.124
10943,"999991000000087",13,52,"999991000000089",36,14,"999991000000083",0,54,false,1,-0.092
10944,"999991000000084",0,16,"999991000000088",23,40,"999991000000090",46,44,false,2,-0.092
10945,"999991000000091",57,56,"999991000000089",36,14,"999991000000083",0,54,false,0,-0.21900000000000003
10946,"999991000000084",0,16,"999991000000092",69,41,"999991000000090",46,44,false,1,-0.29700000000000004
10947,"999991000000093",80,52,"999991000000089",36,14,"999991000000083",0,54,false,0,-0.629
10948,"999991000000087",13,57,"999991000000082",0,60,"999991000000083",0,59,false,0,-0.105
10949,"999991000000088",24,13,"999991000000085",0,41,"999991000000086",0,43,false,0,-0.129
10950,"999991000000087",13,57,"999991000000082",0,60,"999991000000089",36,55,false,2,-0.109
10951,"999991000000088",24,13,"999991000000085",0,41,"999991000000090",47,7,false,2,-0.093
10952,"999991000000087",13,57,"999991000000091",58,48,"999991000000089",36,55,false,1,-0.12
10953,"999991000000092",70,47,"999991000000085",0,41,"999991000000090",47,7,false,0,-0.279
10954,"999991000000093",81,9,"999991000000091",58,48,"999991000000089",36,55,false,0,-0.244
10955,"999991000000092",70,47,"999991000000085",0,41,"999991000000094",91,57,false,2,-0.51
10956,"999991000000095",103,54,"999991000000091",58,48,"999991000000089",36,55,false,0,-0.798
10957,"999991000000092",70,47,"999991000000085",0,41,"999991000000096",114,44,false,2,-0.9560000000000001
10958,"999991000000095",103,54,"999991000000097",125,12,"999991000000089",36,55,false,1,-0.66
10959,"999991000000081",0,10,"999991000000082",0,51,"999991000000087",17,52,false,2,-0.122
10960,"999991000000084",0,7,"999991000000085",0,43,"999991000000088",28,44,false,2,-0.093
10961,"999991000000081",0,10,"999991000000082",0,51,"999991000000089",39,60,false,2,-0.255
10962,"999991000000084",0,7,"999991000000085",0,43,"999991000000090",51,51,false,2,-0.34600000000000003
10963,"999991000000091",63,8,"999991000000082",0,51,"999991000000089",39,60,false,0,-0.07
10964,"999991000000084",0,7,"999991000000085",0,43,"999991000000092",75,54,false,2,-0.5700000000000001
10965,"999991000000093",87,14,"999991000000082",0,51,"999991000000089",39,60,false,0,-0.645
10966,"999991000000084",0,7,"999991000000094",106,59,"999991000000092",75,54,false,1,-0.133
10967,"999991000000095",119,49,"999991000000082",0,51,"999991000000089",39,60,false,0,-0.867
10968,"999991000000084",0,7,"999991000000096",132,20,"999991000000092",75,54,false,1,-1.1030000000000002
10969,"999991000000095",119,49,"999991000000082",0,51,"999991000000097",144,60,false,2,-0.47100000000000003
10970,"999991000000084",0,7,"999991000000098",157,43,"999991000000092",75,54,false,1,-1.2580000000000002
10971,"999991000000095",119,49,"999991000000082",0,51,"999991000000099",170,54,true,2,-1.4260000000000002
10972,"999991000000095",0,53,"999991000000082",0,60,"999991000000087",18,8,false,2,-0.14200000000000002
10973,"999991000000088",30,58,"999991000000098",0,58,"999991000000092",0,48,false,0,-0.12300000000000001
10974,"999991000000095",0,53,"999991000000082",0,60,"999991000000089",46,3,false,2,-0.23
10975,"999991000000088",30,58,"999991000000098",0,58,"999991000000090",59,17,false,2,-0.138
10976,"999991000000095",0,53,"999991000000091",74,50,"999991000000089",46,3,false,1,-0.13
10977,"999991000000092",86,59,"999991000000098",0,58,"999991000000090",59,17,false,0,-0.41800000000000004
10978,"999991000000093",100,6,"999991000000091",74,50,"999991000000089",46,3,false,0,-0.14300000000000002
10979,"999991000000094",112,6,"999991000000098",0,58,"999991000000090",59,17,false,0,-0.903
10980,"999991000000093",100,6,"999991000000091",74,50,"999991000000095",125,42,false,2,-0.47700000000000004
10981,"999991000000094",112,6,"999991000000098",0,58,"999991000000096",137,55,false,2,-0.6080000000000001
