Episode,TotalReward
0,202.2027
1,190.92711
2,65.55304
3,116.686745
4,180.86057
5,324.2933
6,47.19652
7,59.08755
8,104.26814
9,82.40751
10,196.63594
11,287.45624
12,59.68137
13,177.44853
14,90.98011
15,168.98415
16,138.36034
17,165.13556
18,71.54656
19,66.68415
20,95.02832
21,107.96321
22,229.13733
23,91.08147
24,107.32517
25,198.09236
26,93.27492
27,293.40356
28,95.337654
29,99.820435
30,87.715866
31,79.48679
32,144.77365
33,177.3588
34,163.5424
35,160.15797
36,55.266598
37,225.19037
38,49.083424
39,88.585495
40,226.40675
41,190.20386
42,102.46868
43,77.81028
44,125.408676
45,151.06404
46,125.16269
47,220.68173
48,119.22536
49,171.09302
50,91.80563
51,136.0247
52,173.03992
53,170.89792
54,85.98208
55,74.59773
56,161.19196
57,75.23451
58,291.20276
59,131.14874
60,52.604687
61,131.63126
62,156.10272
63,85.48189
64,151.06021
65,76.04805
66,144.01158
67,77.35886
68,93.20029
69,73.67661
70,93.42769
71,147.90356
72,78.26123
73,166.79643
74,78.82206
75,62.804817
76,114.30652
77,96.86369
78,315.17276
79,91.06033
80,73.65548
81,230.01639
82,140.43474
83,172.10771
84,146.66559
85,69.44863
86,154.3549
87,79.9901
88,232.0237
89,78.03105
90,178.23256
91,73.66692
92,89.80689
93,91.60798
94,156.04955
95,170.05898
96,70.515076
97,135.23203
98,197.26733
99,54.585606
